model,asset,interval,epoch,train_loss,val_loss,lr,epoch_time
transformer,BTC,1d,0,0.7235250473022461,0.1210801899433136,0.0056839718935182285,2.25
transformer,BTC,1d,1,0.099270299077034,0.09954535216093063,0.00568292027393368,1.4
transformer,BTC,1d,2,0.10324043780565262,0.11251210421323776,0.005681167862930022,1.34
transformer,BTC,1d,3,0.10435257107019424,0.11882586032152176,0.005678715092888447,1.35
transformer,BTC,1d,4,0.09780153632164001,0.11163967847824097,0.0056755625689932625,1.38
transformer,BTC,1d,5,0.10040806233882904,0.10977430641651154,0.005671711069082567,1.3
transformer,BTC,1d,6,0.10055097192525864,0.09753552824258804,0.005667161543456333,1.32
transformer,BTC,1d,7,0.1022958979010582,0.08089864999055862,0.005661915114641931,1.33
transformer,BTC,1d,8,0.1019926369190216,0.09730163961648941,0.005655973077117168,1.31
transformer,BTC,1d,9,0.09906448423862457,0.1192985400557518,0.005649336896990891,1.34
transformer,BTC,1d,10,0.09920678287744522,0.10685057938098907,0.005642008211641246,1.17
transformer,BTC,1d,11,0.10347219556570053,0.10290706157684326,0.005633988829311682,1.37
transformer,BTC,1d,12,0.10333245992660522,0.08317574113607407,0.005625280728664792,1.33
transformer,BTC,1d,13,0.10113689303398132,0.06854245811700821,0.0056158860582941105,1.34
transformer,BTC,1d,14,0.09742729365825653,0.09884890168905258,0.005605807136193973,1.33
transformer,BTC,1d,15,0.10224025696516037,0.08918247371912003,0.0055950464491875945,1.33
transformer,BTC,1d,16,0.0954352468252182,0.08992663770914078,0.005583606652313479,1.36
transformer,BTC,1d,17,0.09290764480829239,0.08766654133796692,0.005571490568170327,1.35
transformer,BTC,1d,18,0.09340979903936386,0.08208431303501129,0.005558701186220604,1.36
transformer,BTC,1d,19,0.09825669974088669,0.10916389524936676,0.005545241662052935,1.37
transformer,BTC,1d,20,0.0998658761382103,0.08091887086629868,0.005531115316603509,1.81
transformer,BTC,1d,21,0.09287568926811218,0.07580570131540298,0.0055163256353366885,1.35
transformer,BTC,1d,22,0.09238157421350479,0.08765051513910294,0.005500876267385024,1.36
transformer,BTC,1d,23,0.09036412835121155,0.08094079047441483,0.005484771024648881,1.31
transformer,BTC,1d,24,0.08527946472167969,0.08656404912471771,0.00546801388085592,1.33
transformer,BTC,1d,25,0.09415910392999649,0.08880379796028137,0.005450608970580628,1.34
transformer,BTC,1d,26,0.09079636633396149,0.07467024028301239,0.005432560588224181,1.33
transformer,BTC,1d,27,0.08988291770219803,0.07920586317777634,0.005413873186954861,1.34
transformer,BTC,1d,28,0.08957801759243011,0.07750014960765839,0.005394551377609305,1.33
